fecha,cliente,medio,titular,texto,alcance
2026-06-13,Velfy,Cinco Dias,"Entrevista al CEO de Velfy: ""app de finanzas es el futuro""","El reportaje analiza la posicion de Velfy en app de finanzas, con datos del ultimo trimestre.",48785
2026-05-11,Brio Energia,El Mundo,Analisis: el futuro de autoconsumo segun Brio Energia,Fuentes cercanas a Brio Energia confirman movimientos en autoconsumo.,103114
2026-06-08,Nortia Retail,Forbes Espana,Nortia Retail apuesta por campana de rebajas,Fuentes cercanas a Nortia Retail confirman movimientos en campana de rebajas.,26640
2026-07-24,Lumora,Xataka,Lumora cierra un acuerdo en puntos de recarga,Fuentes cercanas a Lumora confirman movimientos en puntos de recarga.,49102
2026-06-23,Brio Energia,Cinco Dias,Brio Energia presenta su plan de hidrogeno verde,La compania Brio Energia ha comunicado avances en hidrogeno verde.,47624
2026-07-14,Brio Energia,La Vanguardia,Brio Energia refuerza su compromiso con la sostenibilidad,Fuentes cercanas a Brio Energia confirman movimientos en autoconsumo.,94448
2026-05-08,Lumora,Europa Press,Lumora lidera puntos de recarga,Fuentes cercanas a Lumora confirman movimientos en puntos de recarga.,40070
2026-07-04,Velfy,El Espanol,Analisis: el futuro de pagos digitales segun Velfy,La compania Velfy ha comunicado avances en pagos digitales.,42472
2026-06-27,Velfy,El Espanol,Velfy y la inteligencia artificial en pagos digitales,Fuentes cercanas a Velfy confirman movimientos en pagos digitales.,30203
2026-05-11,Nortia Retail,El Mundo,"Nortia Retail cierra un acuerdo en tiendas fisicas, segun fuentes del sector",La compania Nortia Retail ha comunicado avances en tiendas fisicas.,136539
2026-07-03,Lumora,ABC ,Lumora gana cuota en baterias,"El reportaje analiza la posicion de Lumora en baterias, con datos del ultimo trimestre.",76810
2026-05-17,Brio Energia,El Economista,"Brio Energia cierra un acuerdo en parque solar, segun fuentes del sector","El reportaje analiza la posicion de Brio Energia en parque solar, con datos del ultimo trimestre.",29370
2026-07-03,Velfy,Expansion,Velfy cierra un acuerdo en app de finanzas,"Segun el articulo, Velfy continua su expansion en app de finanzas.",51959
2026-07-16,Nortia Retail,Xataka,Nortia Retail anuncia novedades en campana de rebajas,"Segun el articulo, Nortia Retail continua su expansion en campana de rebajas.",103840
2026-07-19,Nortia Retail,La Razon,Nortia Retail refuerza su compromiso con la sostenibilidad,"Segun el articulo, Nortia Retail continua su expansion en omnicanalidad.",36743
2026-07-08,Brio Energia,El Economista,Brio Energia anuncia novedades en autoconsumo,"El reportaje analiza la posicion de Brio Energia en autoconsumo, con datos del ultimo trimestre.",45338
2026-06-15,Nortia Retail,Xataka,Nortia Retail anuncia novedades en campana de rebajas,"El reportaje analiza la posicion de Nortia Retail en campana de rebajas, con datos del ultimo trimestre.",86942
2026-05-24,Lumora,elDiario.es,Lumora anuncia novedades en movilidad electrica,La compania Lumora ha comunicado avances en movilidad electrica.,69219
2026-05-18,Brio Energia,El Economista,Analisis: el futuro de hidrogeno verde segun Brio Energia,"Segun el articulo, Brio Energia continua su expansion en hidrogeno verde.",32551
2026-07-04,Brio Energia,La Vanguardia,Brio Energia cierra un acuerdo en energia renovable,Brio Energia destaca por su enfoque en energia renovable e inteligencia artificial.,80930
2026-05-19,Velfy,,Velfy cierra un acuerdo en criptoactivos,Fuentes cercanas a Velfy confirman movimientos en criptoactivos.,80860
2026-07-19,Brio Energia,La Razon,Brio Energia apuesta por parque solar,La compania Brio Energia ha comunicado avances en parque solar.,36976
2026-05-19,Lumora,La Vanguardia,Lumora crece en puntos de recarga,Lumora destaca por su enfoque en puntos de recarga e inteligencia artificial.,117856
2026-05-28,Lumora,Cinco Dias,Lumora cierra un acuerdo en vehiculo electrico,Fuentes cercanas a Lumora confirman movimientos en vehiculo electrico.,41843
2026-07-10,,20minutos,El sector debate sobre inteligencia artificial,Reportaje general sobre inteligencia artificial.,130000
2026-06-15,Lumora,Expansion,Lumora y la inteligencia artificial en vehiculo electrico,Lumora destaca por su enfoque en vehiculo electrico e inteligencia artificial.,51926
2026-06-01,Brio Energia,Expansion,Brio Energia apuesta por energia renovable,"El reportaje analiza la posicion de Brio Energia en energia renovable, con datos del ultimo trimestre.",58381
2026-07-06,Brio Energia,elDiario.es,Brio Energia crece en energia renovable,La compania Brio Energia ha comunicado avances en energia renovable.,61528
2026-06-26,Nortia Retail,Forbes Espana,Nortia Retail refuerza su compromiso con la sostenibilidad,"El reportaje analiza la posicion de Nortia Retail en campana de rebajas, con datos del ultimo trimestre.",20775
2026-07-22,Nortia Retail,El Economista,"Nortia Retail crece en tiendas fisicas, segun fuentes del sector",La compania Nortia Retail ha comunicado avances en tiendas fisicas.,57777
2026-06-14,Lumora,El Mundo,Lumora y la analitica de flotas,Reportaje sobre flotas y datos de Lumora.,110000
2026-05-25,Lumora,Cinco Dias,Lumora lidera baterias,Lumora destaca por su enfoque en baterias e inteligencia artificial.,37404
2026-06-12,Brio Energia,Cinco Dias,Brio Energia y la inteligencia artificial en eolica marina,"El reportaje analiza la posicion de Brio Energia en eolica marina, con datos del ultimo trimestre.",46050
2026-07-21,Brio Energia,Cinco Dias,"Brio Energia cierra un acuerdo en eolica marina, segun fuentes del sector",La compania Brio Energia ha comunicado avances en eolica marina.,61068
2026-06-25,,Cinco Dias,El sector debate sobre inteligencia artificial,Reportaje general sobre inteligencia artificial.,60000
2026-05-11,Nortia Retail,La Vanguardia,Nortia Retail lidera logistica de ultima milla,La compania Nortia Retail ha comunicado avances en logistica de ultima milla.,100.000
2026-06-02,Nortia Retail,Business Insider Espana,Nortia Retail gana cuota en omnicanalidad,Fuentes cercanas a Nortia Retail confirman movimientos en omnicanalidad.,43022
2026-06-24,Nortia Retail,La Vanguardia,Nortia Retail refuerza su compromiso con la sostenibilidad,Fuentes cercanas a Nortia Retail confirman movimientos en omnicanalidad.,122275
2026-05-08,Nortia Retail,Cinco Dias,Nortia Retail y la inteligencia artificial en tiendas fisicas,Fuentes cercanas a Nortia Retail confirman movimientos en tiendas fisicas.,33385
2026-05-03,Velfy,La Vanguardia,Velfy crece en app de finanzas,"Segun el articulo, Velfy continua su expansion en app de finanzas.",54185
2026-06-11,Velfy,Business Insider Espana,Velfy apuesta por ronda de financiacion,Fuentes cercanas a Velfy confirman movimientos en ronda de financiacion.,41569
2026-07-15,Nortia Retail,elDiario.es,Nortia Retail lidera tiendas fisicas,La compania Nortia Retail ha comunicado avances en tiendas fisicas.,34378
2026-06-20,Nortia Retail,El Economista,Nortia Retail crece en campana de rebajas,"El reportaje analiza la posicion de Nortia Retail en campana de rebajas, con datos del ultimo trimestre.",42201
2026-06-24,Nortia Retail,El Confidencial,Nortia Retail invierte en tiendas fisicas,La compania Nortia Retail ha comunicado avances en tiendas fisicas.,65354
2026-07-08,Nortia Retail,Expansion,Nortia Retail presenta su plan de comercio electronico,La compania Nortia Retail ha comunicado avances en comercio electronico.,93139
2026-06-04,Velfy,Forbes Espana,Velfy invierte en ronda de financiacion,"Segun el articulo, Velfy continua su expansion en ronda de financiacion.",56126
2026-07-14,Brio Energia,Xataka,Brio Energia crece en energia renovable,La compania Brio Energia ha comunicado avances en energia renovable.,51767
2026-06-28,Nortia Retail,La Razon,Nortia Retail invierte en tiendas fisicas,Fuentes cercanas a Nortia Retail confirman movimientos en tiendas fisicas.,41861
2026-07-11,Brio Energia,Europa Press,Analisis: el futuro de energia renovable segun Brio Energia,"El reportaje analiza la posicion de Brio Energia en energia renovable, con datos del ultimo trimestre.",69793
2026-05-18,Nortia Retail,Forbes Espana,Nortia Retail anuncia novedades en omnicanalidad,La compania Nortia Retail ha comunicado avances en omnicanalidad.,64564
2026-07-11,Nortia Retail,El Confidencial,"Nortia Retail invierte en campana de rebajas, segun fuentes del sector","El reportaje analiza la posicion de Nortia Retail en campana de rebajas, con datos del ultimo trimestre.",104306
2026-05-19,Brio Energia,Xataka,Brio Energia anuncia novedades en hidrogeno verde,"Segun el articulo, Brio Energia continua su expansion en hidrogeno verde.",40079
2026-05-28,Nortia Retail,el confidencial ,Nortia Retail anuncia novedades en omnicanalidad,Fuentes cercanas a Nortia Retail confirman movimientos en omnicanalidad.,114498
2026-05-11,Velfy,El Espanol,Velfy gana cuota en pagos digitales,"El reportaje analiza la posicion de Velfy en pagos digitales, con datos del ultimo trimestre.",41601
2026-07-21,Brio Energia,El Confidencial,Brio Energia presenta su plan de energia renovable,Brio Energia destaca por su enfoque en energia renovable e inteligencia artificial.,N/A
2026-07-13,Brio Energia,La Razon,Brio Energia anuncia novedades en eolica marina,"Segun el articulo, Brio Energia continua su expansion en eolica marina.",31229
2026-05-17,Brio Energia,Xataka,"Entrevista al CEO de Brio Energia: ""hidrogeno verde es el futuro""",Fuentes cercanas a Brio Energia confirman movimientos en hidrogeno verde.,88987
2026-06-02,Lumora,20minutos,Lumora apuesta por movilidad electrica,"El reportaje analiza la posicion de Lumora en movilidad electrica, con datos del ultimo trimestre.",119810
2026-07-02,Nortia Retail,Europa Press,Nortia Retail y la inteligencia artificial en logistica de ultima milla,"Segun el articulo, Nortia Retail continua su expansion en logistica de ultima milla.",79989
2026-05-05,Brio Energia,El Mundo,Brio Energia gana cuota en autoconsumo,La compania Brio Energia ha comunicado avances en autoconsumo.,128018
2026-07-07,Velfy,El Economista,Velfy lidera fintech,"Segun el articulo, Velfy continua su expansion en fintech.",37619
2026-05-23,Lumora,,Lumora invierte en flotas,Lumora destaca por su enfoque en flotas e inteligencia artificial.,43911
2026-05-16,Lumora,El Pais,Lumora cierra un acuerdo en vehiculo electrico,"Segun el articulo, Lumora continua su expansion en vehiculo electrico.",150925
2026-05-16,Velfy,Expansion,Velfy lidera pagos digitales,Fuentes cercanas a Velfy confirman movimientos en pagos digitales.,36427
2026-05-01,Velfy,El Economista,Velfy cierra un acuerdo en ronda de financiacion,La compania Velfy ha comunicado avances en ronda de financiacion.,68676
2026-07-20,Lumora,Cinco Dias,Lumora crece en baterias,"El reportaje analiza la posicion de Lumora en baterias, con datos del ultimo trimestre.",66359
2026-05-14,Nortia Retail,Business Insider Espana,Nortia Retail refuerza su estrategia de campana de rebajas,La compania Nortia Retail ha comunicado avances en campana de rebajas.,31726
2026-06-23,Nortia Retail,,Nortia Retail y la inteligencia artificial en comercio electronico,La compania Nortia Retail ha comunicado avances en comercio electronico.,53329
2026-07-21,Nortia Retail,El Espanol,Nortia Retail gana cuota en tiendas fisicas,La compania Nortia Retail ha comunicado avances en tiendas fisicas.,55205
2026-05-20,Nortia Retail,El Mundo,Nortia Retail presenta su plan de logistica de ultima milla,Fuentes cercanas a Nortia Retail confirman movimientos en logistica de ultima milla.,130213
2026-05-06,Nortia Retail,20minutos,Nortia Retail crece en campana de rebajas,"El reportaje analiza la posicion de Nortia Retail en campana de rebajas, con datos del ultimo trimestre.",88805
2026-06-28,Velfy,La Vanguardia,Velfy lidera ronda de financiacion,"El reportaje analiza la posicion de Velfy en ronda de financiacion, con datos del ultimo trimestre.",102656
2026-05-07,Lumora,Business Insider Espana,Analisis: el futuro de puntos de recarga segun Lumora,Lumora destaca por su enfoque en puntos de recarga e inteligencia artificial.,41625
2026-07-22,Brio Energia,El Mundo,"Brio Energia presenta su plan de parque solar, segun fuentes del sector",Fuentes cercanas a Brio Energia confirman movimientos en parque solar.,86781
2026-07-07,Brio Energia,El Pais,Brio Energia apuesta por eolica marina,Brio Energia destaca por su enfoque en eolica marina e inteligencia artificial.,70224
2026-07-24,Nortia Retail,El Pais,Nortia Retail invierte en comercio electronico,"El reportaje analiza la posicion de Nortia Retail en comercio electronico, con datos del ultimo trimestre.",74872
2026-07-11,Velfy,El Pais,Analisis: el futuro de fintech segun Velfy,"Segun el articulo, Velfy continua su expansion en fintech.",100769
2026-06-12,Lumora,El Mundo,Lumora lidera flotas,Fuentes cercanas a Lumora confirman movimientos en flotas.,115520
2026-05-11,Brio Energia,La Razon,Brio Energia presenta su plan de autoconsumo,Fuentes cercanas a Brio Energia confirman movimientos en autoconsumo.,24280
14/06/2026,Brio Energia,El Economista,Analisis: el futuro de eolica marina segun Brio Energia,La compania Brio Energia ha comunicado avances en eolica marina.,55000
2026-05-09,Brio Energia,Business Insider Espana,Brio Energia anuncia novedades en eolica marina,"El reportaje analiza la posicion de Brio Energia en eolica marina, con datos del ultimo trimestre.",23655
2026-06-05,Lumora,La Razon,Lumora y la inteligencia artificial en baterias,"Segun el articulo, Lumora continua su expansion en baterias.",17505
2026-07-14,Lumora,Business Insider Espana,Lumora gana cuota en puntos de recarga,Fuentes cercanas a Lumora confirman movimientos en puntos de recarga.,57248
2026-07-28,Nortia Retail,Xataka,Nortia Retail lidera comercio electronico,"Segun el articulo, Nortia Retail continua su expansion en comercio electronico.",61259
2026-07-22,Nortia Retail,El Confidencial,Analisis: el futuro de omnicanalidad segun Nortia Retail,Fuentes cercanas a Nortia Retail confirman movimientos en omnicanalidad.,76053
2026-07-04,Nortia Retail,Europa Press,Nortia Retail anuncia novedades en logistica de ultima milla,Fuentes cercanas a Nortia Retail confirman movimientos en logistica de ultima milla.,
2026-05-24,Lumora, expansion,Lumora invierte en baterias,"Segun el articulo, Lumora continua su expansion en baterias.",84087
2026-07-09,Velfy,Europa Press,Velfy refuerza su compromiso con la sostenibilidad,La compania Velfy ha comunicado avances en app de finanzas.,51580
2026-06-11,Brio Energia,Forbes Espana,Brio Energia gana cuota en hidrogeno verde,"El reportaje analiza la posicion de Brio Energia en hidrogeno verde, con datos del ultimo trimestre.",44836
2026-05-09,Velfy,Cinco Dias,Velfy lidera fintech,Fuentes cercanas a Velfy confirman movimientos en fintech.,32327
2026-07-26,Velfy,Expansion,"Velfy crece en fintech, segun fuentes del sector","El reportaje analiza la posicion de Velfy en fintech, con datos del ultimo trimestre.",—
2026-05-09,Velfy,El Confidencial,Velfy refuerza su compromiso con la sostenibilidad,"El reportaje analiza la posicion de Velfy en ronda de financiacion, con datos del ultimo trimestre.",113379
2026-07-20,Brio Energia,La Vanguardia,Brio Energia apuesta por energia renovable,Brio Energia destaca por su enfoque en energia renovable e inteligencia artificial.,103065
04/06/2026,Brio Energia,Europa Press,Brio Energia crece en eolica marina,La compania Brio Energia ha comunicado avances en eolica marina.,70000
2026-05-25,Brio Energia,La Vanguardia,Brio Energia y la inteligencia artificial en eolica marina,Brio Energia destaca por su enfoque en eolica marina e inteligencia artificial.,86111
2026-05-10,Nortia Retail,  20minutos,Nortia Retail presenta su plan de logistica de ultima milla,"El reportaje analiza la posicion de Nortia Retail en logistica de ultima milla, con datos del ultimo trimestre.",93682
2026-05-28,Nortia Retail,El Espanol,Nortia Retail refuerza su compromiso con la sostenibilidad,"El reportaje analiza la posicion de Nortia Retail en comercio electronico, con datos del ultimo trimestre.",61771
2026-07-09,Lumora,Xataka,"Entrevista al CEO de Lumora: ""flotas es el futuro""","El reportaje analiza la posicion de Lumora en flotas, con datos del ultimo trimestre.",74973
2026-06-23,Velfy,elDiario.es,Velfy anuncia novedades en criptoactivos,Velfy destaca por su enfoque en criptoactivos e inteligencia artificial.,49533
2026-06-24,Lumora,Expansion,Lumora y la inteligencia artificial en flotas,Lumora destaca por su enfoque en flotas e inteligencia artificial.,58657
2026-06-09,Brio Energia,Forbes Espana,Brio Energia cierra un acuerdo en parque solar,Brio Energia destaca por su enfoque en parque solar e inteligencia artificial.,53829
2026-05-10,Nortia Retail,El Economista,"Nortia Retail refuerza su estrategia de campana de rebajas, segun fuentes del sector","El reportaje analiza la posicion de Nortia Retail en campana de rebajas, con datos del ultimo trimestre.",22334
2026-06-10,Nortia Retail,El Confidencial,Nortia Retail lidera omnicanalidad,Fuentes cercanas a Nortia Retail confirman movimientos en omnicanalidad.,61525
2026-05-26,Nortia Retail,Business Insider Espana,"Entrevista al CEO de Nortia Retail: ""comercio electronico es el futuro""",Nortia Retail destaca por su enfoque en comercio electronico e inteligencia artificial.,54414
2026-05-07,Nortia Retail,El Pais,Nortia Retail y la inteligencia artificial en omnicanalidad,La compania Nortia Retail ha comunicado avances en omnicanalidad.,142519
2026-06-23,Brio Energia,El Mundo,Brio Energia anuncia novedades en autoconsumo,"El reportaje analiza la posicion de Brio Energia en autoconsumo, con datos del ultimo trimestre.",93254
2026-06-06,Nortia Retail,El Espanol,Nortia Retail cierra un acuerdo en comercio electronico,La compania Nortia Retail ha comunicado avances en comercio electronico.,93221
2026-07-26,Velfy,Forbes Espana,Velfy apuesta por app de finanzas,Velfy destaca por su enfoque en app de finanzas e inteligencia artificial.,49884
2026-06-07,Brio Energia,La Razon,Brio Energia apuesta por autoconsumo,La compania Brio Energia ha comunicado avances en autoconsumo.,49746
2026-06-22,Nortia Retail,El Economista,Nortia Retail invierte en logistica de ultima milla,Nortia Retail destaca por su enfoque en logistica de ultima milla e inteligencia artificial.,
2026-05-09,Lumora,Cinco Dias,Lumora refuerza su estrategia de baterias,La compania Lumora ha comunicado avances en baterias.,48263
2026-07-03,Nortia Retail,El Mundo,Nortia Retail apuesta por campana de rebajas,"El reportaje analiza la posicion de Nortia Retail en campana de rebajas, con datos del ultimo trimestre.",98157
2026-06-28,Nortia Retail,20minutos,Nortia Retail invierte en logistica de ultima milla,"El reportaje analiza la posicion de Nortia Retail en logistica de ultima milla, con datos del ultimo trimestre.",88856
2026-07-12,Lumora,elDiario.es,Lumora crece en baterias,Fuentes cercanas a Lumora confirman movimientos en baterias.,30033
2026-06-20,Lumora,Cinco Dias,Analisis: el futuro de puntos de recarga segun Lumora,La compania Lumora ha comunicado avances en puntos de recarga.,77735
24/05/2026,Velfy,La Vanguardia,Analisis: el futuro de app de finanzas segun Velfy,La compania Velfy ha comunicado avances en app de finanzas.,100000
2026-06-11,Nortia Retail,elDiario.es,Analisis: el futuro de campana de rebajas segun Nortia Retail,La compania Nortia Retail ha comunicado avances en campana de rebajas.,35208
2026-06-15,Lumora,Cinco Dias,Lumora presenta su plan de baterias,"Segun el articulo, Lumora continua su expansion en baterias.",59422
2026-07-14,Velfy,El Espanol,Velfy gana cuota en fintech,La compania Velfy ha comunicado avances en fintech.,54665
2026-05-02,Velfy,El Confidencial,Velfy gana cuota en ronda de financiacion,"Segun el articulo, Velfy continua su expansion en ronda de financiacion.",71593
2026-05-03,Velfy,Forbes Espana,Velfy crece en fintech,Velfy destaca por su enfoque en fintech e inteligencia artificial.,22527
2026-07-26,Brio Energia,El Confidencial,Brio Energia cierra un acuerdo en autoconsumo,"Segun el articulo, Brio Energia continua su expansion en autoconsumo.",68123
2026-06-07,Brio Energia,Business Insider Espana,Brio Energia refuerza su estrategia de autoconsumo,Brio Energia destaca por su enfoque en autoconsumo e inteligencia artificial.,36901
2026-05-11,Nortia Retail,ABC,Nortia Retail crece en omnicanalidad,"El reportaje analiza la posicion de Nortia Retail en omnicanalidad, con datos del ultimo trimestre.",98723
2026-06-10,Lumora,La Razon,Lumora refuerza su estrategia de flotas,"Segun el articulo, Lumora continua su expansion en flotas.",50837
2026-07-09,Brio Energia,Business Insider Espana,Brio Energia refuerza su estrategia de parque solar,"El reportaje analiza la posicion de Brio Energia en parque solar, con datos del ultimo trimestre.",50781
2026-06-04,Nortia Retail,ABC,Nortia Retail cierra un acuerdo en tiendas fisicas,"Segun el articulo, Nortia Retail continua su expansion en tiendas fisicas.",80109
